Χρόνος δειγματοληψίας t (sec),Σήμα διέγερσης Vin (V),Λαμβανόμενο σήμα Vout (V)
1.96E-03,-1.12,0.048
1.96E-03,-1.04,0.048
1.96E-03,-0.96,0.048
1.96E-03,-0.88,0.056
1.96E-03,-0.8,0.048
1.97E-03,-0.72,0.048
1.97E-03,-0.72,0.056
1.97E-03,-0.64,0.048
1.97E-03,-0.48,0.056
1.97E-03,-0.48,0.056
1.98E-03,-0.48,0.056
1.98E-03,-0.48,0.056
1.98E-03,-0.32,0.056
1.98E-03,-0.32,0.064
1.98E-03,-0.24,0.064
1.99E-03,-0.16,0.072
1.99E-03,-0.08,0.072
1.99E-03,-0.08,0.08
1.99E-03,-0.08,0.104
1.99E-03,0.08,0.12
2.00E-03,0.16,0.16
2.00E-03,0.16,0.2
